surah_id,surah_name,surah_name_transliteration,surah_type,verse_count,E1_dot_length,E1_dot_density,E1_dot_entropy,E1_dot_compression,E1_dot_max_run_1,E1_dot_max_run_0,E1_dot_total_runs,E2_voice_length,E2_voice_density,E2_voice_entropy,E2_voice_compression,E2_voice_max_run_1,E2_voice_max_run_0,E2_voice_total_runs,E3_emphasis_length,E3_emphasis_density,E3_emphasis_entropy,E3_emphasis_compression,E3_emphasis_max_run_1,E3_emphasis_max_run_0,E3_emphasis_total_runs,E4_throat_length,E4_throat_density,E4_throat_entropy,E4_throat_compression,E4_throat_max_run_1,E4_throat_max_run_0,E4_throat_total_runs,E5_connect_length,E5_connect_density,E5_connect_entropy,E5_connect_compression,E5_connect_max_run_1,E5_connect_max_run_0,E5_connect_total_runs,E6_abjad_parity_length,E6_abjad_parity_density,E6_abjad_parity_entropy,E6_abjad_parity_compression,E6_abjad_parity_max_run_1,E6_abjad_parity_max_run_0,E6_abjad_parity_total_runs,E7_abjad_prime_length,E7_abjad_prime_density,E7_abjad_prime_entropy,E7_abjad_prime_compression,E7_abjad_prime_max_run_1,E7_abjad_prime_max_run_0,E7_abjad_prime_total_runs,E8_solar_length,E8_solar_density,E8_solar_entropy,E8_solar_compression,E8_solar_max_run_1,E8_solar_max_run_0,E8_solar_total_runs,E9_word_start_length,E9_word_start_density,E9_word_start_entropy,E9_word_start_compression,E9_word_start_max_run_1,E9_word_start_max_run_0,E9_word_start_total_runs,E10_word_end_length,E10_word_end_density,E10_word_end_entropy,E10_word_end_compression,E10_word_end_max_run_1,E10_word_end_max_run_0,E10_word_end_total_runs,E11_alpha_parity_length,E11_alpha_parity_density,E11_alpha_parity_entropy,E11_alpha_parity_compression,E11_alpha_parity_max_run_1,E11_alpha_parity_max_run_0,E11_alpha_parity_total_runs,E12_high_freq_length,E12_high_freq_density,E12_high_freq_entropy,E12_high_freq_compression,E12_high_freq_max_run_1,E12_high_freq_max_run_0,E12_high_freq_total_runs,E13_allah_letter_length,E13_allah_letter_density,E13_allah_letter_entropy,E13_allah_letter_compression,E13_allah_letter_max_run_1,E13_allah_letter_max_run_0,E13_allah_letter_total_runs,E14_symmetric_length,E14_symmetric_density,E14_symmetric_entropy,E14_symmetric_compression,E14_symmetric_max_run_1,E14_symmetric_max_run_0,E14_symmetric_total_runs,E15_ascending_length,E15_ascending_density,E15_ascending_entropy,E15_ascending_compression,E15_ascending_max_run_1,E15_ascending_max_run_0,E15_ascending_total_runs,E16_descending_length,E16_descending_density,E16_descending_entropy,E16_descending_compression,E16_descending_max_run_1,E16_descending_max_run_0,E16_descending_total_runs
1,الفاتحة,Al-Fatihah,meccan,7,125,0.304,0.8861,0.384,3,9,55,125,0.744,0.8207,0.368,13,3,55,125,0.056,0.3114,0.176,1,75,15,125,0.176,0.6712,0.28,1,12,45,125,0.8,0.7219,0.32,11,3,47,125,0.12,0.5294,0.28,1,28,31,125,0.072,0.3733,0.216,1,32,18,125,0.464,0.9963,0.384,5,5,66,125,0.24,0.795,0.28,1,6,60,125,0.24,0.795,0.288,1,6,60,122,0.582,0.9805,0.4016,5,7,66,125,0.824,0.6712,0.288,41,3,37,125,0.256,0.8207,0.336,4,9,47,125,0.232,0.7815,0.328,2,14,49,125,0.28,0.8555,0.36,3,9,49,125,0.272,0.8443,0.344,2,9,54
2,البقرة,Al-Baqarah,medinan,286,24629,0.332,0.917,0.1555,7,26,10812,24629,0.6016,0.97,0.1588,13,8,12774,24629,0.0407,0.2456,0.0555,2,220,1967,24629,0.1795,0.6791,0.125,3,37,8055,24629,0.7106,0.868,0.1512,25,7,10168,24629,0.205,0.7318,0.1348,5,43,8502,24629,0.1071,0.4911,0.0989,4,72,4831,24629,0.3716,0.9519,0.1563,7,13,13142,24776,0.2756,0.8494,0.1277,3,9,12550,24776,0.2756,0.8494,0.1277,3,9,12550,22789,0.4718,0.9977,0.1606,12,19,11239,24776,0.8825,0.5221,0.1036,96,4,5279,24776,0.2561,0.8207,0.1459,6,34,9482,24776,0.2707,0.8425,0.1487,6,29,10058,24776,0.2903,0.8691,0.1503,5,25,10718,24776,0.2188,0.758,0.138,5,32,8824
3,آل عمران,Ali 'Imran,medinan,200,13979,0.3462,0.9307,0.1582,7,28,6192,13979,0.6204,0.9578,0.1602,15,10,7180,13979,0.0391,0.238,0.0546,3,146,1073,13979,0.1718,0.6617,0.1238,3,30,4381,13979,0.7169,0.8597,0.1522,29,7,5702,13979,0.1931,0.7079,0.1318,5,41,4634,13979,0.1072,0.4913,0.102,3,72,2815,13979,0.3811,0.9588,0.1589,7,11,7432,14079,0.2769,0.8511,0.1311,3,8,7170,14079,0.2769,0.8511,0.131,3,8,7170,12965,0.4695,0.9973,0.1648,11,13,6445,14079,0.8853,0.514,0.1043,75,4,2931,14079,0.2533,0.8164,0.1467,5,40,5198,14079,0.261,0.8283,0.1496,6,33,5450,14079,0.2887,0.8671,0.1523,5,29,5990,14079,0.2321,0.7817,0.1428,4,25,5198
4,النساء,An-Nisa,medinan,176,15375,0.3326,0.9175,0.1569,10,25,6702,15375,0.5941,0.9743,0.1625,12,10,8055,15375,0.0382,0.2342,0.0543,3,177,1157,15375,0.1701,0.6579,0.1224,4,40,4775,15375,0.7071,0.8725,0.153,27,6,6261,15375,0.2115,0.7444,0.1355,5,32,5471,15375,0.1007,0.4712,0.0966,4,81,2871,15375,0.3687,0.9496,0.1579,6,13,7887,15466,0.2793,0.8544,0.1308,3,8,7684,15466,0.2793,0.8544,0.1307,3,8,7684,14227,0.4718,0.9977,0.164,10,13,7133,15466,0.8839,0.5179,0.1044,65,3,3277,15466,0.261,0.8282,0.1454,6,33,5853,15466,0.2752,0.8489,0.1507,8,29,6241,15466,0.3006,0.882,0.1538,6,24,6729,15466,0.2214,0.7627,0.1384,6,31,5534
5,المائدة,Al-Ma'idah,medinan,120,11400,0.3347,0.9197,0.1573,10,22,5006,11400,0.6089,0.9655,0.1604,12,8,5945,11400,0.0405,0.2447,0.057,2,148,913,11400,0.1825,0.6854,0.1275,3,28,3777,11400,0.7062,0.8735,0.1527,24,5,4666,11400,0.2077,0.7371,0.1364,5,32,3979,11400,0.1018,0.4748,0.0984,3,68,2159,11400,0.3691,0.95,0.1586,5,17,5986,11497,0.2765,0.8506,0.1307,3,9,5784,11497,0.2765,0.8506,0.1307,3,9,5784,10519,0.4752,0.9982,0.1641,17,13,5081,11497,0.8784,0.5339,0.1063,75,4,2543,11497,0.2518,0.8141,0.1463,6,37,4269,11497,0.2682,0.8389,0.1503,5,27,4542,11497,0.2911,0.8702,0.1514,5,21,4921,11497,0.2299,0.7778,0.1424,5,31,4163
6,الأنعام,Al-An'am,meccan,165,12088,0.3393,0.9241,0.1585,9,19,5417,12088,0.6053,0.9678,0.1637,16,8,6321,12088,0.0419,0.2508,0.0594,2,171,983,12088,0.1824,0.6853,0.1284,4,48,4029,12088,0.7029,0.8777,0.1539,25,8,5309,12088,0.2073,0.7363,0.1368,5,33,4199,12088,0.1088,0.4962,0.1028,3,75,2407,12088,0.3699,0.9506,0.1592,6,12,6406,12136,0.2748,0.8483,0.1322,3,8,6260,12136,0.2748,0.8483,0.1323,3,8,6260,11159,0.4799,0.9988,0.164,12,15,5546,12136,0.8748,0.544,0.1103,56,3,2703,12136,0.2451,0.8033,0.1459,7,34,4656,12136,0.2776,0.8522,0.1532,6,22,5145,12136,0.287,0.8648,0.154,6,27,5064,12136,0.2356,0.7876,0.1441,5,30,4529
7,الأعراف,Al-A'raf,meccan,206,13679,0.3467,0.9311,0.1589,6,18,6258,13679,0.5916,0.9757,0.1622,13,10,7200,13679,0.045,0.2646,0.0602,3,129,1191,13679,0.1823,0.685,0.1256,3,36,4573,13679,0.6982,0.8835,0.1531,22,6,5944,13679,0.2154,0.7518,0.1392,6,29,4904,13679,0.1058,0.4871,0.1001,3,74,2681,13679,0.3687,0.9497,0.1586,7,14,7322,13756,0.2674,0.8377,0.1285,3,9,6832,13756,0.2674,0.8377,0.1285,3,9,6832,12622,0.4632,0.9961,0.163,15,13,6153,13756,0.8781,0.5348,0.1093,56,3,3021,13756,0.244,0.8017,0.145,5,25,5192,13756,0.2831,0.8596,0.1519,6,31,5898,13756,0.2843,0.8613,0.1514,5,22,5792,13756,0.2385,0.7926,0.1432,5,27,5198
8,الأنفال,Al-Anfal,medinan,75,5082,0.3379,0.9228,0.1621,6,19,2184,5082,0.6283,0.952,0.1647,12,6,2571,5082,0.0384,0.2348,0.0596,2,111,379,5082,0.1773,0.6741,0.1287,3,30,1635,5082,0.7072,0.8723,0.1556,21,6,2057,5082,0.1928,0.7074,0.1362,4,37,1671,5082,0.1027,0.4775,0.1031,3,61,959,5082,0.3627,0.9449,0.1645,6,12,2631,5110,0.2705,0.8421,0.1374,3,9,2534,5110,0.2705,0.8421,0.1374,3,9,2534,4713,0.4778,0.9986,0.1731,9,13,2285,5110,0.8922,0.4933,0.1039,55,3,1005,5110,0.2464,0.8055,0.1505,5,25,1795,5110,0.2673,0.8376,0.1556,5,23,2005,5110,0.2838,0.8605,0.1552,5,26,2133,5110,0.236,0.7883,0.1481,5,28,1902
9,التوبة,At-Tawbah,medinan,129,10396,0.3232,0.9078,0.1583,7,22,4446,10396,0.6242,0.955,0.1618,20,9,5431,10396,0.0388,0.2366,0.056,2,198,795,10396,0.1868,0.6947,0.1297,5,42,3489,10396,0.7081,0.8712,0.1553,22,7,4313,10396,0.2043,0.7305,0.1357,5,37,3637,10396,0.1199,0.5289,0.109,3,44,2268,10396,0.3667,0.9481,0.1602,6,14,5507,10446,0.2655,0.8349,0.1323,3,8,5110,10446,0.2655,0.8349,0.1323,3,8,5110,9664,0.4835,0.9992,0.1647,14,12,4845,10446,0.8883,0.5051,0.1042,93,3,2141,10446,0.2578,0.8234,0.1479,6,31,3869,10446,0.2743,0.8475,0.1528,8,23,4107,10446,0.2728,0.8455,0.1504,6,32,4187,10446,0.2274,0.7734,0.1431,4,26,3825
10,يونس,Yunus,meccan,109,7179,0.3514,0.9353,0.1624,7,19,3316,7179,0.6072,0.9666,0.166,18,8,3734,7179,0.0425,0.2536,0.0606,2,139,593,7179,0.175,0.6689,0.1294,6,47,2295,7179,0.7142,0.8633,0.158,18,6,3046,7179,0.2028,0.7275,0.1403,6,33,2430,7179,0.0974,0.4606,0.0975,3,69,1297,7179,0.3758,0.955,0.1653,7,14,3798,7216,0.2777,0.8523,0.1333,3,7,3776,7216,0.2777,0.8523,0.1329,3,7,3776,6630,0.4656,0.9966,0.1686,13,14,3271,7216,0.8835,0.5194,0.1074,48,3,1571,7216,0.2493,0.8102,0.1491,6,23,2742,7216,0.2603,0.8271,0.1526,6,20,2916,7216,0.2941,0.8739,0.1577,5,23,2996,7216,0.2428,0.7997,0.1466,5,37,2864
