surah_id,verse_id,surah_name,surah_type,text_length,text_preview,letter_count,E1_dot_density,E1_dot_entropy,E1_dot_max_run_1,E1_dot_max_run_0,E2_voice_density,E2_voice_entropy,E2_voice_max_run_1,E2_voice_max_run_0,E3_emphasis_density,E3_emphasis_entropy,E3_emphasis_max_run_1,E3_emphasis_max_run_0,E4_throat_density,E4_throat_entropy,E4_throat_max_run_1,E4_throat_max_run_0,E5_connect_density,E5_connect_entropy,E5_connect_max_run_1,E5_connect_max_run_0,E6_abjad_parity_density,E6_abjad_parity_entropy,E6_abjad_parity_max_run_1,E6_abjad_parity_max_run_0,E7_abjad_prime_density,E7_abjad_prime_entropy,E7_abjad_prime_max_run_1,E7_abjad_prime_max_run_0,E8_solar_density,E8_solar_entropy,E8_solar_max_run_1,E8_solar_max_run_0,E9_word_start_density,E9_word_start_entropy,E9_word_start_max_run_1,E9_word_start_max_run_0,E10_word_end_density,E10_word_end_entropy,E10_word_end_max_run_1,E10_word_end_max_run_0,E11_alpha_parity_density,E11_alpha_parity_entropy,E11_alpha_parity_max_run_1,E11_alpha_parity_max_run_0,E12_high_freq_density,E12_high_freq_entropy,E12_high_freq_max_run_1,E12_high_freq_max_run_0,E13_allah_letter_density,E13_allah_letter_entropy,E13_allah_letter_max_run_1,E13_allah_letter_max_run_0,E14_symmetric_density,E14_symmetric_entropy,E14_symmetric_max_run_1,E14_symmetric_max_run_0,E15_ascending_density,E15_ascending_entropy,E15_ascending_max_run_1,E15_ascending_max_run_0,E16_descending_density,E16_descending_entropy,E16_descending_max_run_1,E16_descending_max_run_0
1,1,الفاتحة,meccan,38,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,16,0.1875,0.6962,1,9,0.75,0.8113,4,1,0.0,-0.0,0,16,0.1875,0.6962,1,5,0.875,0.5436,7,1,0.0625,0.3373,1,10,0.125,0.5436,1,10,0.5,1.0,3,3,0.25,0.8113,1,4,0.25,0.8113,1,4,0.6875,0.896,4,2,1.0,-0.0,16,0,0.3125,0.896,4,4,0.1875,0.6962,1,5,0.25,0.8113,2,4,0.25,0.8113,1,7
1,2,الفاتحة,meccan,37,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,15,0.2,0.7219,2,8,0.8667,0.5665,8,1,0.0,-0.0,0,15,0.2,0.7219,1,4,0.8667,0.5665,7,1,0.0667,0.3534,1,8,0.1333,0.5665,1,6,0.5333,0.9968,3,2,0.2667,0.8366,1,5,0.2667,0.8366,1,5,0.6,0.971,3,2,1.0,-0.0,15,0,0.4,0.971,3,3,0.1333,0.5665,1,7,0.3333,0.9183,2,3,0.2,0.7219,2,7
1,3,الفاتحة,meccan,23,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,10,0.2,0.7219,1,4,0.8,0.7219,4,1,0.0,-0.0,0,10,0.2,0.7219,1,4,0.8,0.7219,4,1,0.0,-0.0,0,10,0.0,-0.0,0,10,0.5,1.0,3,3,0.2,0.7219,1,4,0.2,0.7219,1,4,0.7,0.8813,4,2,0.8,0.7219,4,1,0.2,0.7219,1,4,0.2,0.7219,1,4,0.2,0.7219,1,4,0.4,0.971,1,2
1,4,الفاتحة,meccan,23,مَٰلِكِ يَوۡمِ ٱلدِّينِ,10,0.3,0.8813,2,4,0.9,0.469,7,1,0.0,-0.0,0,10,0.0,-0.0,0,10,0.8,0.7219,4,1,0.0,-0.0,0,10,0.0,-0.0,0,10,0.4,0.971,2,4,0.3,0.8813,1,3,0.3,0.8813,1,3,0.6,0.971,2,1,1.0,-0.0,10,0,0.2,0.7219,1,4,0.2,0.7219,1,4,0.3,0.8813,2,3,0.3,0.8813,2,4
1,5,الفاتحة,meccan,40,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,19,0.4211,0.9819,2,3,0.5789,0.9819,5,2,0.0,-0.0,0,19,0.2105,0.7425,1,6,0.6842,0.8997,7,3,0.2105,0.7425,1,7,0.0526,0.2975,1,12,0.3158,0.8997,3,5,0.2105,0.7425,1,5,0.2105,0.7425,1,5,0.5882,0.9774,3,1,0.7368,0.8315,6,3,0.1053,0.4855,1,8,0.2632,0.8315,2,4,0.3158,0.8997,2,6,0.3158,0.8997,2,5
1,6,الفاتحة,meccan,34,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,15,0.2667,0.8366,3,8,0.5333,0.9968,2,3,0.2,0.7219,1,5,0.1333,0.5665,1,11,0.8,0.7219,8,1,0.2,0.7219,1,7,0.0667,0.3534,1,14,0.6,0.971,5,3,0.2,0.7219,1,6,0.2,0.7219,1,6,0.6,0.971,3,3,1.0,-0.0,15,0,0.2667,0.8366,2,6,0.3333,0.9183,2,4,0.2667,0.8366,2,6,0.2667,0.8366,2,5
1,7,الفاتحة,meccan,90,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,40,0.375,0.9544,3,6,0.8,0.7219,13,1,0.1,0.469,1,20,0.2,0.7219,1,10,0.8,0.7219,11,1,0.15,0.6098,1,13,0.075,0.3843,1,15,0.45,0.9928,5,5,0.25,0.8113,1,5,0.25,0.8113,1,5,0.4872,0.9995,3,7,0.85,0.6098,14,1,0.275,0.8485,3,9,0.25,0.8113,2,14,0.275,0.8485,3,6,0.25,0.8113,2,9
2,1,البقرة,medinan,5,الٓمٓ,3,0.0,-0.0,0,3,0.6667,0.9183,2,1,0.0,-0.0,0,3,0.0,-0.0,0,3,0.6667,0.9183,2,1,0.3333,0.9183,1,2,0.0,-0.0,0,3,0.3333,0.9183,1,1,0.6667,0.9183,1,1,0.6667,0.9183,2,1,0.3333,0.9183,1,2,1.0,-0.0,3,0,0.6667,0.9183,2,1,0.3333,0.9183,1,2,0.6667,0.9183,2,1,0.0,-0.0,0,3
2,2,البقرة,medinan,59,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,25,0.44,0.9896,4,7,0.6,0.971,3,2,0.04,0.2423,1,22,0.12,0.5294,2,14,0.84,0.6343,8,2,0.12,0.5294,2,9,0.16,0.6343,2,9,0.44,0.9896,2,6,0.32,0.9044,2,6,0.32,0.9044,2,6,0.5417,0.995,8,2,1.0,-0.0,25,0,0.32,0.9044,2,5,0.16,0.6343,2,8,0.32,0.9044,4,9,0.28,0.8555,3,9
2,3,البقرة,medinan,92,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,43,0.5116,0.9996,4,10,0.7907,0.7401,11,2,0.093,0.4465,1,17,0.1163,0.5186,1,15,0.7442,0.8204,8,3,0.093,0.4465,1,26,0.1163,0.5186,1,11,0.3488,0.933,4,9,0.2093,0.7401,2,6,0.2093,0.7401,2,6,0.4146,0.9789,3,3,1.0,-0.0,43,0,0.1395,0.583,1,10,0.2558,0.8204,3,8,0.1163,0.5186,1,12,0.4186,0.9808,4,9
